name,category,brand,price,rating,reviews_count,stock_status,size,size_type,link
"Lake Avenue Nutrition,Витамин C,с Quali-C,1000 мг,365 вегетарианских капсул","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота,Пищевые добавки,Витамины,Витамин С,Quali-C",Lake Avenue Nutrition,2235.25,4.7,5427,1,365,штука,https://ru.iherb.com/pr/lake-avenue-nutrition-vitamin-c-quali-c-1-000-mg-365-veggie-capsules/96287
"Solaray,витамины D3 и K2,без сои,120 вегетарианских капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол),Пищевые добавки,Витамины,Витамин К",Solaray,1388.09,4.9,9885,0,120,штука,https://ru.iherb.com/pr/solaray-vitamin-d3-k2-soy-free-120-vegcaps/85529
"Now Foods,витамин A,25 000 МЕ,250 капсул","Пищевые добавки,Витамины,Витамин А",Now Foods,795.47,4.8,3227,1,250,штука,https://ru.iherb.com/pr/now-foods-vitamin-a-25-000-iu-250-softgels/382
"Nature's Plus,водно-диспергируемый витамин А,10 000 МЕ (3 000 мкг),90 таблеток","Пищевые добавки,Витамины,Витамин А",Nature's Plus,426.49,4.8,815,1,90,штука,https://ru.iherb.com/pr/nature-s-plus-water-dispersible-vitamin-a-10-000-iu-3-000-mcg-90-tablets/7507
"Solgar,витамин D3,натуральный клубнично-банановый вкус,25 мкг (1000 МЕ),100 жевательных таблеток","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Solgar,563.28,4.9,2149,1,100,штука,https://ru.iherb.com/pr/solgar-vitamin-d3-natural-strawberry-banana-swirl-flavor-25-mcg-1-000-iu-100-chewable-tablets/61714
"Now Foods,мега D3 и MK-7,180 мкг (5000 МЕ),60 растительных капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол),Пищевые добавки,Витамины,Витамин К",Now Foods,1105.86,4.8,4384,1,60,штука,https://ru.iherb.com/pr/now-foods-mega-d-3-mk-7-180-mcg-5-000-iu-60-veg-capsules/79866
"Jarrow Formulas,витамин D3,холекальциферол,125 мкг (5000 МЕ),100 капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Jarrow Formulas,661.63,4.9,1774,1,100,штука,https://ru.iherb.com/pr/jarrow-formulas-vitamin-d3-cholecalciferol-125-mcg-5-000-iu-100-softgels/22926
"21st Century,С-1000,замедленное высвобождение,110 таблеток","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота",21st Century,497.72,4.7,1772,1,110,штука,https://ru.iherb.com/pr/21st-century-c-1000-prolonged-release-110-tablets/43741
"Now Foods,C-1000,со 100 мг биофлавоноидов,250 растительных капсул","Пищевые добавки,Витамины,Витамин С",Now Foods,1238.05,4.8,3438,1,250,штука,https://ru.iherb.com/pr/now-foods-c-1000-with-100-mg-of-bioflavonoids-250-veg-capsules/475
"YumV's,Multi V,с мультиминеральной формулой,со вкусом молочного шоколада,60 мишек","Товары для детей,Здоровье детей,Детские мультивитамины",Yum-Vs,804.69,4.7,259,1,60,штука,https://ru.iherb.com/pr/yumv-s-multi-v-with-multi-mineral-formula-milk-chocolate-60-bears/49243
"Life Extension,One-Per-Day,60 таблеток","Пищевые добавки,Витамины,Мультивитамины",Life Extension,1384.36,4.8,4989,1,60,штука,https://ru.iherb.com/pr/life-extension-one-per-day-multivitamin-60-tablets/86016
"NB Pure,метил B12,спрей,укрепление,30 мл (1 жидк. унция)","Пищевые добавки,Витамины,Витамин B,B12",NB Pure,1486.44,4.8,3500,1,1,жидкая унция,https://ru.iherb.com/pr/nb-pure-methyl-b-12-spray-boost-1-fl-oz/17795
"Now Foods,витамин D3,высокоактивный,1000 МЕ,180 мягких таблеток","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Now Foods,397.73,4.9,26563,1,180,штука,https://ru.iherb.com/pr/now-foods-vitamin-d-3-high-potency-1-000-iu-180-softgels/543
"Life Extension,витамин B12,500 мкг,100 вегетарианских пастилок","Пищевые добавки,Витамины,Витамин B,B12",Life Extension,488.96,4.8,1381,1,100,штука,https://ru.iherb.com/pr/life-extension-vitamin-b12-methylcobalamin-500-mcg-100-vegetarian-lozenges/3950
"California Gold Nutrition,Baby Vitamin D3 Liquid,10 mcg (400 IU),0.34 fl oz (10 ml)","Товары для детей,Здоровье детей,Витамин D для детей,Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",California Gold Nutrition,596.07,4.9,60737,1,0.34,жидкая унция,https://ru.iherb.com/pr/california-gold-nutrition-baby-vitamin-d3-liquid-10-mcg-400-iu-0-34-fl-oz-10-ml/65958
"Life Extension,капсулы для приема дважды в день,60 капсул","Пищевые добавки,Витамины,Мультивитамины",Life Extension,767.44,4.7,24525,1,60,штука,https://ru.iherb.com/pr/life-extension-two-per-day-capsules-60-capsules/86456
"NATURELO,мультивитамины для мужчин,для ежедневного применения,120 вегетарианских капсул","Пищевые добавки,Здоровье мужчины,Мужские мультивитамины",NATURELO,2812.39,4.8,1376,0,120,штука,https://ru.iherb.com/pr/naturelo-one-daily-multivitamin-for-men-120-vegetarian-capsules/92972
